Designator,Mid X,Mid Y,Rotation,Layer
_41,175.72075,-53.951375,270.0,top
_40,171.19955,-61.565785,90.0,top
_39,171.19955,-74.265785,90.0,top
_38,171.19955,-79.345785,90.0,top
_37,171.19955,-64.105785,90.0,top
_36,175.72075,-76.811375,270.0,top
_35,175.72075,-79.351375,270.0,top
_34,171.19955,-71.725785,90.0,top
_33,171.19955,-66.645785,90.0,top
_32,175.72075,-69.191375,270.0,top
_31,175.72075,-61.571375,270.0,top
_30,175.72075,-86.971375,270.0,top
_29,175.72075,-74.271375,270.0,top
_28,171.19955,-48.865785,90.0,top
_27,175.69891,-81.891375,270.0,top
_26,171.19955,-94.585785,90.0,top
_25,171.19955,-81.885785,90.0,top
_24,171.19955,-69.185785,90.0,top
_23,171.19955,-97.125785,90.0,top
_22,171.19955,-89.505785,90.0,top
_21,171.19955,-59.025785,90.0,top
_20,175.72075,-71.731375,270.0,top
_19,175.72075,-97.131375,270.0,top
_18,171.19955,-86.965785,90.0,top
_17,171.19955,-56.485785,90.0,top
_16,175.72075,-66.651375,270.0,top
_15,173.46015,-43.95876,270.0,top
_14,171.19955,-84.425785,90.0,top
_13,175.72075,-51.411375,270.0,top
_12,173.46015,-101.95864,270.0,top
_11,171.15891,-53.905145,90.0,top
_10,171.19955,-51.405785,90.0,top
_9,175.72075,-64.111375,270.0,top
_8,171.19955,-76.805785,90.0,top
_7,175.72075,-59.031375,270.0,top
_6,175.72075,-92.051375,270.0,top
_5,175.72075,-56.491375,270.0,top
_4,171.19955,-92.045785,90.0,top
_3,175.72075,-84.431375,270.0,top
_2,175.72075,-89.511375,270.0,top
,175.72075,-94.591375,270.0,top
C1,181.99811,-55.317385,0.0,top
C2,181.99811,-51.100985,0.0,top
D1,185.73691,-97.354385,0.0,bottom
D10,141.2748,-100.448,270.0,top
D11,168.12971,-68.541785,90.0,top
D12,168.07256,-75.484985,270.0,top
D13,124.31471,-89.200985,270.0,top
D14,124.31471,-80.084385,90.0,top
D15,185.95591,-58.212985,0.0,bottom
D2,185.76231,-64.639185,0.0,bottom
D3,185.76231,-84.120985,0.0,bottom
D4,142.32331,-60.295785,90.0,top
D5,138.05611,-60.295785,90.0,top
D6,161.98291,-98.217985,270.0,top
D7,130.18211,-62.445785,180.0,top
D8,130.18211,-98.319585,180.0,top
D9,137.6172,-100.5496,270.0,top
F1,171.3992,-113.4364,270.0,top
F2,171.9814,-108.0262,270.0,top
J1,172.19015,-48.86858,0.0,bottom
J10,140.0744,-116.6622,180.0,top
J11,167.42791,-116.573385,180.0,top
J12,139.30401,-53.192585,0.0,top
J13,114.62461,-58.26404,180.0,bottom
J14,188.976,-26.67,180.0,top
J2,184.06611,-74.646785,90.0,top
J3,181.22519,-46.42561,270.0,top
J5,170.15511,-108.657385,180.0,top
J6,139.30401,-44.30293,0.0,top
J7,110.22651,-53.269385,90.0,top
J8,110.22651,-60.178185,90.0,top
J9,110.24616,-85.29243,90.0,top
L1,181.21071,-53.234585,90.0,top
R1,181.78171,-80.768185,0.0,top
R10,166.63111,-89.251785,270.0,top
R11,178.17571,-97.354385,180.0,bottom
R12,178.41671,-64.639185,180.0,bottom
R13,178.45511,-84.146385,180.0,bottom
R14,164.06,-73.7362,270.0,bottom
R15,166.18711,-48.916585,0.0,top
R2,181.78171,-68.525385,0.0,top
R3,168.70121,-93.849185,270.0,top
R4,169.14571,-56.434985,90.0,top
R5,166.56126,-94.322895,270.0,top
R6,166.80891,-56.434985,90.0,top
R7,169.19651,-82.267585,90.0,top
R8,168.68851,-88.234985,270.0,top
R9,166.60571,-82.292985,90.0,top
SW1,178.32611,-93.214185,180.0,bottom
U1,154.08351,-54.36806,90.0,bottom
U10,128.37171,-68.963535,270.0,top
U2,164.0346,-82.1055,180.0,top
U3,152.73731,-106.76191,270.0,bottom
U4,154.12161,-50.196365,270.0,top
U5,125.80061,-50.272565,270.0,top
U6,116.450235,-70.735185,180.0,bottom
U7,116.437535,-97.83724,180.0,bottom
U8,125.222,-111.044038,90.0,top
U9,152.68651,-111.11166,90.0,top
