Designator,Mid X,Mid Y,Rotation,Layer
_41,175.72075,-59.53354,270.0,top
_40,171.19955,-67.15354,90.0,top
_39,171.19955,-79.85354,90.0,top
_38,171.19955,-84.93354,90.0,top
_37,171.19955,-69.69354,90.0,top
_36,175.72075,-82.39354,270.0,top
_35,175.72075,-84.93354,270.0,top
_34,171.19955,-77.31354,90.0,top
_33,171.19955,-72.23354,90.0,top
_32,175.72075,-74.77354,270.0,top
_31,175.72075,-67.15354,270.0,top
_30,175.72075,-92.55354,270.0,top
_29,175.72075,-79.85354,270.0,top
_28,171.19955,-54.45354,90.0,top
_27,175.69891,-87.47354,270.0,top
_26,171.19955,-100.17354,90.0,top
_25,171.19955,-87.47354,90.0,top
_24,171.19955,-74.77354,90.0,top
_23,171.19955,-102.71354,90.0,top
_22,171.19955,-95.09354,90.0,top
_21,171.19955,-64.61354,90.0,top
_20,175.72075,-77.31354,270.0,top
_19,175.72075,-102.71354,270.0,top
_18,171.19955,-92.55354,90.0,top
_17,171.19955,-62.07354,90.0,top
_16,175.72075,-72.23354,270.0,top
_15,173.4566,-49.54372,270.0,top
_14,171.19955,-90.01354,90.0,top
_13,175.72075,-56.99354,270.0,top
_12,173.4566,-107.5436,270.0,top
_11,171.15891,-59.53354,90.0,top
_10,171.19955,-56.99354,90.0,top
_9,175.72075,-69.69354,270.0,top
_8,171.19955,-82.39354,90.0,top
_7,175.72075,-64.61354,270.0,top
_6,175.72075,-97.63354,270.0,top
_5,175.72075,-62.07354,270.0,top
_4,171.19955,-97.63354,90.0,top
_3,175.72075,-90.01354,270.0,top
_2,175.72075,-95.09354,270.0,top
,175.72075,-100.17354,270.0,top
C1,181.9402,-54.6354,0.0,top
C2,181.9402,-50.419,0.0,top
C3,181.9402,-54.6354,0.0,top
C4,181.9402,-50.419,0.0,top
D1,184.46691,-97.354385,180.0,top
D10,141.2748,-100.448,270.0,top
D11,168.12971,-68.541785,90.0,top
D12,168.12971,-75.319885,270.0,top
D13,124.31471,-89.200985,270.0,top
D14,124.31471,-80.084385,90.0,top
D15,184.05091,-58.212985,180.0,top
D2,184.282,-64.639185,180.0,top
D3,184.282,-84.120985,180.0,top
D4,142.32331,-60.295785,90.0,top
D5,138.05611,-60.295785,90.0,top
D6,162.04006,-98.052885,270.0,top
D7,130.18211,-62.445785,180.0,top
D8,130.18211,-98.319585,180.0,top
D9,137.6172,-100.5496,270.0,top
F1,171.3992,-113.4364,270.0,bottom
F2,174.6992,-113.4618,270.0,top
J1,173.4566,-78.58354,0.0,bottom
J10,139.0744,-116.6622,180.0,top
J11,166.42791,-116.573385,180.0,top
J12,140.30401,-53.192585,0.0,top
J13,114.62461,-54.45404,180.0,bottom
J14,143.9035,-74.6252,180.0,top
J2,184.06611,-74.646785,90.0,top
J3,181.16208,-45.339,270.0,top
J5,167.0328,-108.6802,180.0,top
J6,140.30401,-44.30293,0.0,top
J7,110.217,-50.3452,90.0,top
J8,110.217,-57.254,90.0,top
J9,110.24616,-84.29243,90.0,top
JP2,168.379975,-42.5012,0.0,top
L1,181.1528,-52.5526,90.0,top
L2,181.1528,-52.5526,90.0,top
R1,180.213,-80.768185,0.0,top
R10,166.5986,-90.3846,270.0,top
R11,179.1586,-97.354385,0.0,bottom
R12,179.197,-64.529,270.0,bottom
R13,178.93,-84.1248,0.0,bottom
R14,164.06,-73.7362,270.0,bottom
R15,166.1668,-49.9364,0.0,top
R2,180.213,-68.707,0.0,top
R3,168.6814,-96.3044,270.0,top
R4,169.14571,-55.164985,90.0,top
R5,166.54145,-95.8594,270.0,top
R6,166.80891,-55.164985,90.0,top
R7,169.19651,-80.997585,90.0,top
R8,168.656,-90.8296,270.0,top
R9,166.60571,-81.022985,90.0,top
SW1,182.13611,-90.674185,180.0,bottom
U1,154.2288,-62.5348,90.0,bottom
U10,135.87171,-80.463385,270.0,top
U2,155.9574,-74.041,180.0,top
U3,152.71191,-98.624385,270.0,bottom
U4,154.14701,-43.05884,270.0,top
U5,125.82601,-43.13504,270.0,top
U6,108.31271,-70.760585,180.0,bottom
U7,108.30001,-97.86264,180.0,bottom
U8,125.1966,-119.181563,90.0,top
U9,152.66111,-119.249185,90.0,top
